date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2024-07-06,0,0,0,2024-07-04 22:00:00+0000,2024-07-04 22:00:00+0000,0,
2024-07-07,82,385,0,2024-07-06 18:48:00+0000,2024-07-07 02:35:00+0000,0,
2024-07-08,65,364,0,2024-07-07 19:02:00+0000,2024-07-08 02:11:00+0000,0,
2024-07-09,89,432,22,2024-07-08 17:35:00+0000,2024-07-09 02:38:00+0000,0,
2024-07-10,60,478,5,2024-07-09 17:40:00+0000,2024-07-10 02:43:00+0000,0,
2024-07-11,0,0,0,2024-07-09 22:00:00+0000,2024-07-09 22:00:00+0000,0,
2024-07-12,56,490,6,2024-07-11 17:29:00+0000,2024-07-12 02:41:00+0000,0,
2024-07-13,80,390,4,2024-07-12 18:57:00+0000,2024-07-13 02:51:00+0000,0,
2024-07-14,45,467,8,2024-07-13 18:21:00+0000,2024-07-14 03:01:00+0000,0,"[{\"start\":\"2022-01-08 00:42:44+0000\",\"end\":\"2022-01-08 00:43:02+0000\"}]"
2024-07-15,56,429,0,2024-07-14 19:02:00+0000,2024-07-15 03:07:00+0000,0,"[{\"start\":\"2022-01-08 00:33:40+0000\",\"end\":\"2022-01-08 00:33:58+0000\"}]"
2024-07-16,80,396,0,2024-07-15 18:40:00+0000,2024-07-16 02:36:00+0000,0,
2024-07-17,90,511,5,2024-07-16 17:41:00+0000,2024-07-17 03:47:00+0000,0,
2024-07-18,74,487,10,2024-07-17 18:15:00+0000,2024-07-18 03:46:00+0000,0,
2024-07-19,66,334,15,2024-07-18 19:27:00+0000,2024-07-19 02:22:00+0000,0,
2024-07-20,66,513,11,2024-07-19 17:05:00+0000,2024-07-20 02:55:00+0000,0,
2024-07-21,0,0,0,2024-07-19 22:00:00+0000,2024-07-19 22:00:00+0000,0,
2024-07-22,0,0,0,2024-07-20 22:00:00+0000,2024-07-20 22:00:00+0000,0,
2024-07-23,59,416,12,2024-07-22 18:36:00+0000,2024-07-23 02:43:00+0000,0,
2024-07-24,64,437,0,2024-07-23 18:15:00+0000,2024-07-24 02:36:00+0000,0,
2024-07-25,62,369,2,2024-07-24 19:37:00+0000,2024-07-25 02:50:00+0000,0,
2024-07-26,75,390,0,2024-07-25 18:54:00+0000,2024-07-26 02:39:00+0000,0,
2024-07-27,42,432,3,2024-07-26 19:01:00+0000,2024-07-27 02:58:00+0000,0,
