index,date,time,heartRate,date_time,weekday,prediction,score
132987,2024-10-21,12:22,100,2024-10-21 00:12:22,0,98.41298,0
132988,2024-10-21,12:23,95,2024-10-21 00:12:23,0,98.83235,0
132989,2024-10-21,12:24,91,2024-10-21 00:12:24,0,94.64276,0
132990,2024-10-21,12:25,87,2024-10-21 00:12:25,0,90.50807,0
132991,2024-10-21,12:26,77,2024-10-21 00:12:26,0,87.613174,2
132992,2024-10-21,12:27,98,2024-10-21 00:12:27,0,81.45493,2
132993,2024-10-21,12:28,94,2024-10-21 00:12:28,0,94.04359,0
132994,2024-10-21,12:29,79,2024-10-21 00:12:29,0,92.10528,2
132995,2024-10-21,12:30,66,2024-10-21 00:12:30,0,82.73945,2
132996,2024-10-21,12:31,72,2024-10-21 00:12:31,0,75.358665,0
132997,2024-10-21,12:32,79,2024-10-21 00:12:32,0,77.90534,0
132998,2024-10-21,12:33,82,2024-10-21 00:12:33,0,80.96091,0
132999,2024-10-21,12:34,79,2024-10-21 00:12:34,0,82.672874,0
133000,2024-10-21,12:35,69,2024-10-21 00:12:35,0,80.43714,2
133001,2024-10-21,12:36,69,2024-10-21 00:12:36,0,75.02792,1
133002,2024-10-21,12:37,64,2024-10-21 00:12:37,0,74.83193,2
133003,2024-10-21,12:38,93,2024-10-21 00:12:38,0,71.696,4
133004,2024-10-21,12:39,101,2024-10-21 00:12:39,0,87.5672,2
133005,2024-10-21,12:40,79,2024-10-21 00:12:40,0,91.89774,2
133006,2024-10-21,12:41,75,2024-10-21 00:12:41,0,79.21489,0
133007,2024-10-21,12:42,66,2024-10-21 00:12:42,0,78.05235,2
133008,2024-10-21,12:43,65,2024-10-21 00:12:43,0,73.144455,1
133009,2024-10-21,12:44,70,2024-10-21 00:12:44,0,72.48764,0
133010,2024-10-21,12:45,62,2024-10-21 00:12:45,0,74.62491,2
133011,2024-10-21,12:46,62,2024-10-21 00:12:46,0,69.39582,1
133012,2024-10-21,12:47,68,2024-10-21 00:12:47,0,69.48352,0
133013,2024-10-21,12:48,68,2024-10-21 00:12:48,0,72.23516,0
133014,2024-10-21,12:49,63,2024-10-21 00:12:49,0,72.89564,1
133015,2024-10-21,12:50,70,2024-10-21 00:12:50,0,69.49275,0
133016,2024-10-21,12:51,75,2024-10-21 00:12:51,0,72.506645,0
133017,2024-10-21,12:52,67,2024-10-21 00:12:52,0,74.96064,1
133018,2024-10-21,12:53,73,2024-10-21 00:12:53,0,71.28,0
133019,2024-10-21,12:54,70,2024-10-21 00:12:54,0,74.59242,0
133020,2024-10-21,12:55,64,2024-10-21 00:12:55,0,72.84836,1
133021,2024-10-21,12:56,59,2024-10-21 00:12:56,0,70.83993,2
133022,2024-10-21,12:57,87,2024-10-21 00:12:57,0,68.01062,2
133023,2024-10-21,12:58,67,2024-10-21 00:12:58,0,82.01309,2
133024,2024-10-21,12:59,74,2024-10-21 00:12:59,0,71.31066,0
133025,2024-10-21,13:00,81,2024-10-21 00:13:00,0,74.89131,1
133026,2024-10-21,13:01,66,2024-10-21 00:13:01,0,79.25982,2
133027,2024-10-21,13:02,56,2024-10-21 00:13:02,0,71.343414,2
133028,2024-10-21,13:03,66,2024-10-21 00:13:03,0,67.833046,0
133029,2024-10-21,13:04,63,2024-10-21 00:13:04,0,71.45587,1
133030,2024-10-21,13:05,63,2024-10-21 00:13:05,0,69.054855,1
133031,2024-10-21,13:06,70,2024-10-21 00:13:06,0,68.68825,0
133032,2024-10-21,13:08,92,2024-10-21 00:13:08,0,72.216125,2
133033,2024-10-21,13:10,91,2024-10-21 00:13:10,0,85.50211,1
133034,2024-10-21,13:12,90,2024-10-21 00:13:12,0,87.842545,0
133035,2024-10-21,13:13,74,2024-10-21 00:13:13,0,88.033455,2
133036,2024-10-21,13:14,92,2024-10-21 00:13:14,0,78.31983,2
133037,2024-10-21,13:15,88,2024-10-21 00:13:15,0,89.30058,0
133038,2024-10-21,13:16,74,2024-10-21 00:13:16,0,87.12198,2
133039,2024-10-21,13:17,74,2024-10-21 00:13:17,0,77.275185,0
133040,2024-10-21,13:18,73,2024-10-21 00:13:18,0,77.783165,0
133041,2024-10-21,13:19,63,2024-10-21 00:13:19,0,76.07946,2
133042,2024-10-21,13:20,70,2024-10-21 00:13:20,0,70.93919,0
133043,2024-10-21,13:21,70,2024-10-21 00:13:21,0,74.48884,0
133044,2024-10-21,13:22,65,2024-10-21 00:13:22,0,74.40035,1
133045,2024-10-21,13:23,71,2024-10-21 00:13:23,0,70.922554,0
133046,2024-10-21,13:24,81,2024-10-21 00:13:24,0,74.20746,1
133047,2024-10-21,13:25,65,2024-10-21 00:13:25,0,79.25948,2
133048,2024-10-21,13:26,62,2024-10-21 00:13:26,0,71.08019,1
133049,2024-10-21,13:27,56,2024-10-21 00:13:27,0,69.96429,2
133050,2024-10-21,13:28,60,2024-10-21 00:13:28,0,67.82192,1
133051,2024-10-21,13:29,61,2024-10-21 00:13:29,0,68.641045,1
133052,2024-10-21,13:30,66,2024-10-21 00:13:30,0,68.95569,0
133053,2024-10-21,13:31,66,2024-10-21 00:13:31,0,70.88608,0
133054,2024-10-21,13:32,62,2024-10-21 00:13:32,0,70.8767,1
133055,2024-10-21,13:33,69,2024-10-21 00:13:33,0,69.170876,0
133056,2024-10-21,13:34,68,2024-10-21 00:13:34,0,71.77795,0
133057,2024-10-21,13:35,58,2024-10-21 00:13:35,0,71.65213,2
133058,2024-10-21,13:36,54,2024-10-21 00:13:36,0,68.24577,2
133059,2024-10-21,13:37,67,2024-10-21 00:13:37,0,67.59267,0
133060,2024-10-21,13:39,62,2024-10-21 00:13:39,0,70.94521,1
133061,2024-10-21,13:40,59,2024-10-21 00:13:40,0,68.57326,1
133062,2024-10-21,13:41,62,2024-10-21 00:13:41,0,68.121315,1
133063,2024-10-21,13:42,63,2024-10-21 00:13:42,0,68.82469,1
133064,2024-10-21,13:44,70,2024-10-21 00:13:44,0,69.403275,0
133065,2024-10-21,13:45,79,2024-10-21 00:13:45,0,72.494316,1
133066,2024-10-21,13:46,69,2024-10-21 00:13:46,0,76.843834,1
133067,2024-10-21,13:47,62,2024-10-21 00:13:47,0,71.912094,1
133068,2024-10-21,13:48,58,2024-10-21 00:13:48,0,69.44759,2
133069,2024-10-21,13:49,67,2024-10-21 00:13:49,0,67.88109,0
133070,2024-10-21,13:50,60,2024-10-21 00:13:50,0,71.32144,2
133071,2024-10-21,13:51,70,2024-10-21 00:13:51,0,68.73722,0
133072,2024-10-21,13:52,77,2024-10-21 00:13:52,0,71.82733,1
133073,2024-10-21,13:53,86,2024-10-21 00:13:53,0,75.88585,2
133074,2024-10-21,13:54,88,2024-10-21 00:13:54,0,80.529785,1
133075,2024-10-21,13:55,68,2024-10-21 00:13:55,0,82.715515,2
133076,2024-10-21,13:56,73,2024-10-21 00:13:56,0,73.10904,0
133077,2024-10-21,13:57,86,2024-10-21 00:13:57,0,75.56049,2
133078,2024-10-21,13:58,79,2024-10-21 00:13:58,0,83.49212,0
133079,2024-10-21,13:59,75,2024-10-21 00:13:59,0,78.77382,0
133080,2024-10-21,14:00,74,2024-10-21 00:14:00,0,76.41592,0
133081,2024-10-21,14:01,64,2024-10-21 00:14:01,0,76.933075,2
133082,2024-10-21,14:02,92,2024-10-21 00:14:02,0,71.067825,4
133083,2024-10-21,14:03,77,2024-10-21 00:14:03,0,87.956314,2
133084,2024-10-21,14:04,81,2024-10-21 00:14:04,0,78.888756,0
133085,2024-10-21,14:05,71,2024-10-21 00:14:05,0,80.90088,1
133086,2024-10-21,14:06,70,2024-10-21 00:14:06,0,75.95786,1
133087,2024-10-21,14:07,76,2024-10-21 00:14:07,0,74.355385,0
133088,2024-10-21,14:08,75,2024-10-21 00:14:08,0,77.98814,0
133089,2024-10-21,14:09,95,2024-10-21 00:14:09,0,76.551575,2
133090,2024-10-21,14:10,107,2024-10-21 00:14:10,0,89.17513,2
133091,2024-10-21,14:11,81,2024-10-21 00:14:11,0,98.549866,2
